stop_lat,stop_lon,type,multimodal
28.619366,77.033188,Metro,Dwarka Mor(112_DM)
28.614899,77.022629,Metro,Dwarka(113_Dw)
28.602232,77.02594,Metro,Dwarka Sector - 14(114_DS)
28.59705,77.033043,Metro,Dwarka Sector - 13(115_DS)
28.592234,77.040558,Metro,Dwarka Sector - 12(116_DS)
28.58642,77.049255,Metro,Dwarka Sector - 11(117_DS)
28.581108,77.05719,Metro,Dwarka Sector - 10(118_DS)
28.574284,77.065086,Metro,Dwarka Sector - 9(119_DS)
28.565706,77.064896,Metro,Dwarka Sector - 8(120_DS)
28.552322,77.056198,Metro,Dwarka Sector - 21(121_DS)
28.627205,77.240952,Metro,ITO(122_IT)
28.627817,77.218956,Metro,Janpath(123_Ja)
28.602682,77.228096,Metro,Khan Market(124_KM)
28.590475,77.23307,Metro,Jawahar Lal Nehru Stadium(125_JL)
28.583231,77.239662,Metro,Jangpura(126_Ja)
28.570705,77.233124,Metro,Lajpat Nagar(127_LN)
28.564629,77.234222,Metro,Moolchand(128_Mo)
28.554617,77.239738,Metro,Kailash Colony(129_KC)
28.551134,77.251511,Metro,Nehru Place(130_NP)
28.549532,77.258789,Metro,Kalkaji Mandir(131_KM)
28.544413,77.264259,Metro,Govind Puri(132_GP)
28.543194,77.275955,Metro,Harkesh Nagar Okhla(133_HN)
28.538084,77.285538,Metro,Jasola-Apollo(134_Ja)
28.528622,77.288345,Metro,Sarita Vihar(135_SV)
28.51959,77.294518,Metro,Mohan Estate(136_ME)
28.502232,77.29866,Metro,Tughlakabad Station(137_TS)
28.4932,77.30085,Metro,Badarpur Border(138_BB)
28.47794,77.304932,Metro,Sarai(139_Sa)
28.462435,77.305252,Metro,NHPC Chowk(140_NC)
28.4485,77.308098,Metro,Mewala Maharajpur(141_MM)
28.440586,77.305992,Metro,Sector-28(142_Se)
28.422707,77.310234,Metro,Badkal Mor(143_BM)
28.412172,77.311272,Metro,Old Faridabad(144_OF)
28.400707,77.309105,Metro,Neelam Chowk Ajronda(145_NC)
28.386362,77.298782,Metro,Bata Chowk(146_BC)
28.370199,77.315002,Metro,Escorts Mujesar(147_EM)
28.480833,77.094246,Metro,Sikanderpur (Rapid Metro)(148_S()
28.488371,77.092865,Metro,Phase 2 (Rapid Metro)(149_P2)
28.492065,77.088142,Metro,Belvedere Towers (Rapid Metro)(150_BT)
28.498478,77.089088,Metro,Cyber City (Rapid Metro)(151_CC)
28.501572,77.094536,Metro,Moulsari Avenue (Rapid Metro)(152_MA)
28.494329,77.093552,Metro,Phase 3 (Rapid Metro)(153_P3)
28.554869,77.087921,Metro,IGI Airport(154_IA)
28.548792,77.120743,Metro,Delhi Aerocity(155_DA)
28.591776,77.161545,Metro,Dhaula Kuan(156_DK)
28.629007,77.209213,Metro,Shivaji Stadium(157_SS)
28.640488,77.240303,Metro,Delhi Gate(158_DG)
28.650393,77.237556,Metro,Jama Masjid(159_JM)
